user,problem,isChallenge,index,isOK,count_FAILED,count_PARTIAL,count_COMPILATION_ERROR,count_RUNTIME_ERROR,count_WRONG_ANSWER,count_PRESENTATION_ERROR,count_TIME_LIMIT_EXCEEDED,count_MEMORY_LIMIT_EXCEEDED,count_IDLENESS_LIMIT_EXCEEDED,count_SECURITY_VIOLATED,count_CRASHED,count_INPUT_PREPARATION_CRASHED,count_CHALLENGED,count_SKIPPED,count_TESTING,count_REJECTED,tags
Sgr,Vasya and the Bus,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"greedy,math"
Sgr,Surrounded,1,B,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,geometry
balou,Vasya and the Bus,1,A,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"greedy,math"
balou,Surrounded,1,B,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,geometry
Sherlock_Holmes,Vasya and the Bus,0,A,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"greedy,math"
Sherlock_Holmes,STL,0,C,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,dfs and similar
Sherlock_Holmes,Surrounded,0,B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,geometry
Sherlock_Holmes,Non-Secret Cypher,0,D,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,two pointers
chernega,Vasya and the Bus,1,A,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,"greedy,math"
pzzxj,Vasya and the Bus,0,A,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"greedy,math"
pzzxj,Surrounded,1,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,geometry
pzzxj,STL,1,C,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,dfs and similar
pzzxj,Non-Secret Cypher,0,D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,two pointers
pzzxj,Counter Attack,0,E,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"data structures,dsu,graphs,hashing,sortings"
Zhuravlyov.A,Vasya and the Bus,0,A,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"greedy,math"
Zhuravlyov.A,STL,0,C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,dfs and similar
Zhuravlyov.A,Surrounded,1,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geometry
EmptyHadron,Vasya and the Bus,1,A,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,"greedy,math"
HeartCircuit,Vasya and the Bus,0,A,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"greedy,math"
HeartCircuit,Surrounded,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geometry
HeartCircuit,STL,0,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dfs and similar
HeartCircuit,Non-Secret Cypher,0,D,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,two pointers
HeartCircuit,Counter Attack,1,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"data structures,dsu,graphs,hashing,sortings"
ahm.kam_92,Vasya and the Bus,1,A,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"greedy,math"
ahm.kam_92,Surrounded,1,B,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,geometry
