user,problem,isChallenge,index,isOK,count_FAILED,count_PARTIAL,count_COMPILATION_ERROR,count_RUNTIME_ERROR,count_WRONG_ANSWER,count_PRESENTATION_ERROR,count_TIME_LIMIT_EXCEEDED,count_MEMORY_LIMIT_EXCEEDED,count_IDLENESS_LIMIT_EXCEEDED,count_SECURITY_VIOLATED,count_CRASHED,count_INPUT_PREPARATION_CRASHED,count_CHALLENGED,count_SKIPPED,count_TESTING,count_REJECTED,tags
RAVEman,Maxim and Discounts,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"greedy,sortings"
RAVEman,Maxim and Restaurant,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dp,math,probabilities"
RAVEman,Maxim and Matrix,0,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"constructive algorithms,dp,math"
RAVEman,Maxim and Increasing Subsequence,1,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,dp
RAVEman,Maxim and Calculator,1,E,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"brute force,dp,two pointers"
RAD,Maxim and Discounts,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"greedy,sortings"
RAD,Maxim and Restaurant,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dp,math,probabilities"
RAD,Maxim and Matrix,1,C,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"constructive algorithms,dp,math"
RAD,Maxim and Calculator,1,E,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"brute force,dp,two pointers"
Milanin,Maxim and Discounts,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"greedy,sortings"
Milanin,Maxim and Restaurant,0,B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"dp,math,probabilities"
Milanin,Maxim and Matrix,1,C,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"constructive algorithms,dp,math"
Milanin,Maxim and Increasing Subsequence,1,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,dp
PavelKunyavskiy,Maxim and Discounts,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"greedy,sortings"
PavelKunyavskiy,Maxim and Restaurant,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dp,math,probabilities"
PavelKunyavskiy,Maxim and Matrix,0,C,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"constructive algorithms,dp,math"
PavelKunyavskiy,Maxim and Increasing Subsequence,0,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dp
PavelKunyavskiy,Maxim and Calculator,1,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"brute force,dp,two pointers"
stevenkplus,Maxim and Discounts,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"greedy,sortings"
stevenkplus,Maxim and Restaurant,1,B,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,"dp,math,probabilities"
SourSpinach,Maxim and Discounts,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"greedy,sortings"
SourSpinach,Maxim and Restaurant,1,B,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"dp,math,probabilities"
enot.1.10,Maxim and Discounts,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"greedy,sortings"
enot.1.10,Maxim and Restaurant,0,B,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"dp,math,probabilities"
enot.1.10,Maxim and Matrix,1,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"constructive algorithms,dp,math"
enot.1.10,Maxim and Calculator,1,E,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"brute force,dp,two pointers"
Jokser,Maxim and Discounts,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"greedy,sortings"
Jokser,Maxim and Restaurant,1,B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"dp,math,probabilities"
Petr,Maxim and Discounts,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"greedy,sortings"
Petr,Maxim and Restaurant,0,B,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"dp,math,probabilities"
Petr,Maxim and Matrix,1,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"constructive algorithms,dp,math"
Dmitry_Egorov,Maxim and Discounts,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"greedy,sortings"
Dmitry_Egorov,Maxim and Restaurant,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dp,math,probabilities"
Dmitry_Egorov,Maxim and Matrix,0,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"constructive algorithms,dp,math"
Dmitry_Egorov,Maxim and Calculator,1,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"brute force,dp,two pointers"
havaliza,Maxim and Discounts,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"greedy,sortings"
havaliza,Maxim and Restaurant,1,B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"dp,math,probabilities"
havaliza,Maxim and Matrix,0,C,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"constructive algorithms,dp,math"
ballon,Maxim and Discounts,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"greedy,sortings"
ballon,Maxim and Restaurant,1,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dp,math,probabilities"
Egor,Maxim and Discounts,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"greedy,sortings"
Egor,Maxim and Restaurant,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dp,math,probabilities"
Egor,Maxim and Matrix,0,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"constructive algorithms,dp,math"
Egor,Maxim and Calculator,0,E,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"brute force,dp,two pointers"
Egor,Maxim and Increasing Subsequence,1,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dp
Rubanenko,Maxim and Discounts,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"greedy,sortings"
Rubanenko,Maxim and Restaurant,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dp,math,probabilities"
Rubanenko,Maxim and Matrix,1,C,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"constructive algorithms,dp,math"
scott_wu,Maxim and Discounts,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"greedy,sortings"
scott_wu,Maxim and Restaurant,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dp,math,probabilities"
scott_wu,Maxim and Matrix,1,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"constructive algorithms,dp,math"
-DMYTRO-,Maxim and Discounts,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"greedy,sortings"
-DMYTRO-,Maxim and Restaurant,1,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dp,math,probabilities"
-DMYTRO-,Maxim and Matrix,1,C,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,"constructive algorithms,dp,math"
jiangzhijie,Maxim and Discounts,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"greedy,sortings"
jiangzhijie,Maxim and Matrix,1,C,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"constructive algorithms,dp,math"
Zlobober,Maxim and Discounts,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"greedy,sortings"
Zlobober,Maxim and Restaurant,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dp,math,probabilities"
Zlobober,Maxim and Matrix,1,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"constructive algorithms,dp,math"
al13n,Maxim and Discounts,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"greedy,sortings"
al13n,Maxim and Restaurant,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dp,math,probabilities"
al13n,Maxim and Matrix,0,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"constructive algorithms,dp,math"
al13n,Maxim and Increasing Subsequence,1,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,dp
KADR,Maxim and Discounts,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"greedy,sortings"
KADR,Maxim and Restaurant,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dp,math,probabilities"
