Petya and Inequiations,38,"tourist,Petya and Inequiations,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Petya and Divisors,39,"tourist,Petya and Divisors,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""binary search,data structures,number theory""
"
Petya and Spiders,40,"tourist,Petya and Spiders,1,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""bitmasks,dp,dsu""
"
Petya and Coloring,41,"tourist,Petya and Coloring,1,D,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,""combinatorics,dp""
"
Petya and Rectangle,42,"Archon.JK,Petya and Rectangle,1,E,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,""""
"
Petya and Strings,43,"ondrah,Petya and Strings,0,A,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""implementation,strings""
"
Petya and Square,44,"ondrah,Petya and Square,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""implementation,math""
"
Petr#,45,"xiaowuc1,Petr#,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,""brute force,data structures,hashing,strings""
"
Double Happiness,46,"xiaowuc1,Double Happiness,0,C,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,""brute force,number theory""
"
Museum,47,"xiaowuc1,Museum,0,D,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,""matrices,probabilities""
"
Grammar Lessons,48,"xiaowuc1,Grammar Lessons,1,A,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,""implementation,strings""
"
Sleeping,49,"dolphinigle,Sleeping,0,E,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,""combinatorics,implementation,math""
"
Cifera,50,"CyberKasumi,Cifera,1,A,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,math
"
PFAST Inc.,51,"CyberKasumi,PFAST Inc.,1,B,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,""bitmasks,brute force""
"
Party,52,"xiaowuc1,Party,1,A,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,""dfs and similar,graphs,trees""
"
Plumber,53,"tourist,Plumber,0,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,math
"
Lawnmower,54,"tourist,Lawnmower,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,""greedy,sortings""
"
Linear Kingdom Races,55,"tourist,Linear Kingdom Races,0,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""data structures,dp""
"
Unambiguous Arithmetic Expression,56,"tourist,Unambiguous Arithmetic Expression,1,D,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,""dp,expression parsing""
"
Tram,57,"cvb,Tram,1,A,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,implementation
"
Little Pigs and Wolves,58,"cvb,Little Pigs and Wolves,1,B,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,""greedy,implementation""
"
Elevator,59,"drugoi,Elevator,0,A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,""implementation,math""
"
Very Interesting Game,60,"tourist,Very Interesting Game,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""brute force,number theory""
"
Cycle,61,"tourist,Cycle,0,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""dfs and similar,graphs""
"
Not Quick Transformation,62,"tourist,Not Quick Transformation,1,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""divide and conquer,math""
"
Tree or not Tree,63,"tourist,Tree or not Tree,1,E,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""data structures,divide and conquer,implementation,trees""
"
String Task,64,"lovro,String Task,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""implementation,strings""
"
Present from Lena,65,"lovro,Present from Lena,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""constructive algorithms,implementation""
"
Fancy Number,66,"lovro,Fancy Number,0,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""brute force,greedy,sortings,strings""
"
Caesar's Legions,67,"lovro,Caesar's Legions,0,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dp
"
Bertown roads,68,"lovro,Bertown roads,1,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""dfs and similar,graphs""
"
Epic Game,69,"tourist,Epic Game,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,implementation
"
Before Exam,70,"tourist,Before Exam,0,B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""constructive algorithms,implementation,sortings""
"
Education Reform,71,"tourist,Education Reform,0,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,dp
"
String Transformation,72,"tourist,String Transformation,1,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""hashing,strings""
"
Alternative Reality,73,"vepifanov,Alternative Reality,0,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geometry
"
Lucky Sum,74,"Komaki,Lucky Sum,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,implementation
"
Lucky Transformation,75,"Komaki,Lucky Transformation,0,B,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,strings
"
Lucky Permutation,76,"Komaki,Lucky Permutation,0,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""brute force,combinatorics,number theory""
"
Lucky Array,77,"Komaki,Lucky Array,1,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data structures
"
Lucky Segments,78,"Komaki,Lucky Segments,1,D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,""binary search,implementation,two pointers""
"
Lucky Division,79,"detroit,Lucky Division,0,A,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,""brute force,number theory""
"
Lucky Substring,80,"detroit,Lucky Substring,1,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""brute force,implementation""
"
Squares,81,"ballon,Squares,0,B,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,math
"
Prime Permutation,82,"ballon,Prime Permutation,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""implementation,number theory,strings""
"
Brackets,83,"ballon,Brackets,1,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""combinatorics,dp,greedy""
"
String,84,"pperm,String,1,D,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,string suffix structures
"
Maze,85,"Petr,Maze,1,E,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""dfs and similar,dp,probabilities,trees""
"
The number of positions,86,"dubov94,The number of positions,0,A,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,math
"
Permutations,87,"dubov94,Permutations,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""brute force,combinatorics,implementation""
"
Measuring Lengths in Baden,88,"fake,Measuring Lengths in Baden,0,A,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,math
"
Simple XML,89,"fake,Simple XML,1,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,implementation
"
Hobbits' Party,90,"yeputons,Hobbits' Party,1,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""constructive algorithms,greedy""
"
Two progressions,91,"yeputons,Two progressions,1,D,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,""constructive algorithms,greedy""
"
MST Company,92,"yeputons,MST Company,0,E,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,""binary search,graphs""
"
Hot Bath,93,"RAVEman,Hot Bath,0,A,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,""binary search,brute force,math""
"
Password,94,"RAVEman,Password,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""binary search,dp,hashing,string suffix structures,strings""
"
E-reader Display,95,"RAVEman,E-reader Display,1,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""constructive algorithms,greedy""
"
Fibonacci Sums,96,"RAVEman,Fibonacci Sums,1,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,""dp,math""
"
Pills,97,"RAVEman,Pills,0,E,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""brute force,flows""
"
Wasted Time,98,"_jte_,Wasted Time,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geometry
"
Canvas Frames,99,"_jte_,Canvas Frames,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,implementation
"
Statues,100,"ftiasch,Statues,0,A,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,dfs and similar
"
Games with Rectangle,101,"ftiasch,Games with Rectangle,0,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""combinatorics,dp""
"
Numbers,102,"ftiasch,Numbers,1,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,constructive algorithms
"
Birthday,103,"Egor,Birthday,1,E,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""geometry,math""
"
Cookies,104,"Al3kSaNdaR,Cookies,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,implementation
"
Students and Shoelaces,105,"Al3kSaNdaR,Students and Shoelaces,0,B,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,""brute force,dfs and similar,graphs""
"
cAPS lOCK,106,"pythonMan,cAPS lOCK,0,A,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,""implementation,strings""
"
Opposites Attract,107,"pythonMan,Opposites Attract,0,B,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,""implementation,math""
"
The World is a Theatre,108,"pythonMan,The World is a Theatre,0,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""combinatorics,math""
"
Present to Mom,109,"pythonMan,Present to Mom,0,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""binary search,two pointers""
"
Subway,110,"pythonMan,Subway,0,D,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""dfs and similar,graphs""
"
Yet Another Task with Queens,111,"pythonMan,Yet Another Task with Queens,1,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sortings
"
